"frame","head_patient","torso_patient","legs_patient","head_therapist","torso_therapist","legs_therapist"
271,9,200,0,50,563,322
272,17,55,0,17,130,49
273,6,0,0,61,6,0
274,5,6,70,203,14,19
275,5,83,1060,188,59,339
276,82,162,1357,174,52,525
277,41,149,1250,87,107,400
278,7,177,1073,74,213,249
279,7,202,1224,123,248,237
280,37,175,1273,172,217,602
281,11,165,525,73,127,251
282,15,225,987,81,2,211
283,5,301,977,104,221,257
284,0,317,656,109,911,166
285,0,351,806,400,1389,326
286,0,354,613,513,1159,486
287,8,319,218,478,420,109
288,0,15,346,446,17,17
289,0,12,614,405,134,207
290,3,87,610,176,703,317
291,3,492,393,408,983,122
292,21,492,251,402,727,77
293,20,453,165,208,396,46
294,4,384,226,106,242,38
295,9,312,426,28,133,19
296,4,236,611,10,121,94
297,26,83,376,27,193,16
298,22,39,81,358,98,0
299,10,6,0,623,272,0
300,13,0,0,970,1020,0
301,4,0,0,1436,2178,42
302,27,21,22,2140,2959,50
303,14,57,435,3227,3538,136
304,16,97,824,3931,4192,356
305,0,123,949,3898,3877,453
306,0,107,846,3697,3588,360
307,0,110,545,2869,2727,263
308,0,112,115,1806,1734,207
309,0,98,47,913,854,130
310,0,89,275,410,628,89
311,0,63,669,222,651,201
312,0,0,493,232,773,341
313,0,0,0,803,709,143
314,7,0,0,1285,640,0
315,0,59,0,1847,545,0
316,25,109,51,2271,870,12
317,30,232,59,2053,1257,11
318,12,230,169,2155,1781,0
319,0,196,126,2317,2098,3
320,3,138,107,2414,2094,43
321,0,64,20,2651,1575,1
322,0,38,6,2852,1561,19
323,4,0,0,2992,1920,69
324,0,0,0,2883,1895,208
325,0,0,0,2864,1618,364
326,0,0,0,2508,1199,223
327,0,36,0,2016,951,151
328,0,49,0,1438,736,701
329,0,33,3,879,468,931
330,0,39,0,373,177,1160
331,23,44,0,47,264,1185
332,20,8,0,4,575,875
333,17,8,0,2,242,134
334,0,0,0,183,266,189
335,0,0,0,86,361,740
336,0,0,0,103,510,1086
337,0,0,0,58,646,1568
338,0,2,0,210,992,1636
339,0,0,0,273,1266,1702
340,0,0,0,683,982,2014
341,37,0,0,860,1182,1883
342,8,0,0,1122,843,1442
343,18,0,0,578,423,1177
344,10,0,0,125,394,793
345,0,0,0,45,319,686
346,0,0,0,181,583,337
347,0,0,0,883,1437,1167
348,0,0,0,1646,2068,2059
349,0,0,0,2471,1667,2458
350,0,0,0,2681,1792,2865
351,0,0,0,2609,1230,2159
352,0,0,0,2400,939,1517
353,0,0,0,1718,766,558
354,0,0,0,925,621,215
355,0,0,0,220,696,517
356,0,0,0,97,557,685
357,0,0,0,465,446,586
358,0,0,0,812,265,81
359,0,0,0,882,190,21
360,0,0,0,1006,158,139
361,0,0,0,893,397,216
362,4,0,0,758,791,84
363,0,0,0,511,518,58
364,0,0,0,387,323,9
365,0,0,0,88,55,0
366,0,0,0,36,22,0
367,0,0,0,46,81,1
368,0,0,0,47,312,11
369,0,0,0,21,401,31
370,0,0,0,17,320,35
371,0,0,0,36,291,29
372,0,0,0,33,4,0
373,0,0,0,89,116,0
374,0,0,0,302,283,32
375,0,0,0,436,297,43
376,0,0,0,590,206,23
377,0,0,0,622,89,1
378,0,0,0,642,28,82
379,0,0,0,633,13,4
380,0,0,0,527,8,0
381,0,0,0,489,3,0
382,0,0,0,425,17,0
383,0,0,0,342,2,0
384,0,0,0,286,0,0
385,0,0,0,103,24,0
386,0,0,0,168,33,0
387,1,0,0,266,11,0
388,3,0,0,241,26,0
389,6,0,0,203,75,3
390,0,0,0,40,24,0
391,0,0,0,5,39,3
392,0,0,0,9,3,0
393,0,0,0,0,9,0
394,0,0,0,0,65,1
395,0,0,0,0,166,1
396,0,0,0,0,55,0
397,0,0,0,20,38,0
398,0,0,0,48,19,2
399,0,0,0,0,29,0
400,0,0,0,0,33,12
401,0,0,0,1,45,52
402,0,0,0,6,4,0
403,0,0,0,5,2,0
404,0,0,0,1,77,0
405,0,0,0,0,180,0
406,0,0,0,0,183,4
407,0,0,0,0,43,0
408,0,0,0,4,3,0
409,0,0,0,0,0,0
410,0,0,0,5,19,0
411,0,0,0,5,1,0
412,0,0,0,0,58,12
413,0,0,0,8,161,24
414,0,0,0,0,195,20
415,0,0,0,0,237,26
416,2,0,0,2,288,69
417,0,0,0,1,272,67
418,0,0,0,6,269,61
419,0,0,0,0,205,48
420,0,0,0,2,34,9
421,0,0,0,0,89,39
422,0,0,0,0,363,98
423,0,0,0,0,377,67
424,0,0,0,0,315,63
425,0,0,0,0,271,54
426,0,0,0,3,181,2
427,0,0,0,11,54,1
428,0,0,0,0,15,2
429,0,0,0,0,0,0
430,0,0,0,0,0,0
431,0,0,0,1,0,0
432,0,0,0,0,58,12
433,0,0,0,0,140,64
434,0,0,0,29,238,95
435,0,0,0,25,225,83
436,0,0,0,89,79,59
437,0,0,0,71,52,61
438,0,0,0,27,10,33
439,0,0,0,2,15,19
440,0,0,0,0,40,22
441,0,0,0,0,23,27
442,0,0,0,7,44,32
443,0,0,0,79,69,18
444,0,0,0,22,45,46
445,0,0,0,2,63,93
446,0,0,0,8,53,94
447,0,120,0,2,25,38
448,83,764,0,1,8,0
449,306,1900,0,0,0,0
450,729,3073,0,0,0,0
451,866,4798,0,2,0,0
452,855,5774,0,0,0,0
453,738,6132,0,0,0,0
454,611,6085,0,28,0,0
455,441,6371,0,0,14,2
456,345,6402,0,0,0,0
457,722,6485,0,9,56,0
458,905,6773,0,10,20,0
459,643,6681,0,4,1,0
460,547,5990,0,2,3,0
461,540,5253,0,29,44,0
462,266,4947,0,7,44,4
463,44,4592,0,6,124,35
464,1,4328,0,7,206,134
465,0,3467,0,0,267,162
466,34,2236,0,3,372,175
467,53,1562,0,0,218,250
468,66,1441,0,0,165,238
469,125,1182,0,0,179,242
470,383,1080,0,9,206,213
471,679,1064,0,20,207,180
472,668,900,0,91,233,484
473,709,832,0,226,302,509
474,516,572,0,146,202,574
475,431,117,0,70,150,676
476,182,2,0,8,371,549
477,296,0,0,7,480,217
478,275,0,0,0,751,583
479,206,5,0,3,696,931
480,125,9,0,4,769,1552
481,64,36,0,0,846,1398
482,10,3,0,0,1058,1557
483,24,3,0,0,825,1093
484,0,0,0,0,688,400
485,0,0,0,0,342,449
486,0,0,0,0,383,581
487,0,0,0,2,434,475
488,13,0,0,65,577,262
489,0,0,0,292,398,375
490,5,39,0,301,176,381
491,25,35,0,264,257,450
492,11,0,0,39,161,378
493,10,0,0,18,237,355
494,0,12,0,110,205,124
495,0,10,0,26,159,27
496,0,10,0,14,175,20
497,2,0,0,0,211,71
498,0,0,0,3,288,48
499,24,0,0,7,226,7
500,81,0,0,1,251,2
501,143,0,0,0,367,16
502,147,0,0,0,332,10
503,145,0,0,7,407,26
504,150,0,0,4,205,25
505,121,0,0,0,123,14
506,0,5,0,0,157,0
507,0,4,0,0,151,0
508,7,0,0,0,387,15
509,9,0,0,0,244,8
510,3,0,0,17,45,0
511,3,0,0,51,96,2
512,0,0,0,138,45,3
513,0,0,0,55,0,1
514,12,0,0,44,9,0
515,11,0,0,2,123,0
